id,title,released,popularity,average_stars,total_votes,genres,overview
616037,Thor: Love and Thunder,2022-07-06,8046.699,6.8,1795,"['Action', 'Adventure', 'Fantasy']","After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now inexplicably wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late."
766507,Prey,2022-08-02,6268.566,8.2,1852,"['Action', 'Thriller', 'Science Fiction', 'Horror']","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal."
507086,Jurassic World Dominion,2022-06-01,4730.943,7.1,2674,"['Adventure', 'Action', 'Science Fiction']","Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures."
438148,Minions: The Rise of Gru,2022-06-29,4266.555,7.8,1237,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions."
361743,Top Gun: Maverick,2022-05-24,4076.002,8.3,1869,"['Action', 'Drama']","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen."
756999,The Black Phone,2022-06-22,2856.011,8.0,1717,"['Horror', 'Thriller']","Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney."
453395,Doctor Strange in the Multiverse of Madness,2022-05-04,2297.175,7.5,5185,"['Fantasy', 'Action', 'Adventure']","Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary."
718789,Lightyear,2022-06-15,2269.572,7.3,1542,"['Animation', 'Science Fiction', 'Adventure', 'Action', 'Family']",Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.
725201,The Gray Man,2022-07-13,2098.132,7.1,1444,"['Action', 'Thriller']","When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head."
614934,Elvis,2022-06-22,1843.708,7.9,864,"['Music', 'Drama', 'History']","The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker."
762975,Purple Hearts,2022-07-29,1748.615,8.6,952,"['Romance', 'Drama']","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real."
585511,Luck,2022-08-05,1718.657,8.3,267,"['Animation', 'Adventure', 'Comedy', 'Fantasy']","Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around."
759175,The Princess,2022-06-16,1613.578,7.0,409,"['Fantasy', 'Action']","A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom."
919355,Dragon Knight,2022-03-21,1566.375,7.2,18,"['Fantasy', 'Adventure', 'Action']","Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?"
634649,Spider-Man: No Way Home,2021-12-15,1515.585,8.0,14596,"['Action', 'Adventure', 'Science Fiction']","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
961484,Last Seen Alive,2022-05-19,1459.587,6.6,208,"['Action', 'Thriller']","After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands."
854467,Indemnity,2022-02-11,1384.828,7.0,47,"['Action', 'Thriller', 'Crime']","An ex-fireman with PTSD goes on the run when accused of a crime he doesn't even remember committing, leading him down a rabbit hole of conspiracy to the highest degree."
924482,The Ledge,2022-02-18,1380.995,6.3,76,['Thriller'],"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight-knit group of friends who will stop at nothing to destroy the evidence and anyone in their way. Desperate for her safety, she begins a treacherous climb up a mountain cliff and her survival instincts are put to the test when she becomes trapped with the killers just 20 feet away."
728366,Borrego,2022-01-14,1271.678,6.0,36,"['Thriller', 'Crime']","A young botanist relocates to a small desert town to study an invasive plant species. While out on research, she comes to the aid of a downed plane only to find herself taken captive by an inexperienced drug mule who forces her to lead a trek across the sweltering desert to his drop. A local sheriff is drawn into the hunt as his rebellious daughter sets out to find the missing botanist, all the while being pursued by a local drug receiver."
675353,Sonic the Hedgehog 2,2022-03-30,1269.226,7.7,2743,"['Action', 'Adventure', 'Family', 'Comedy']","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands."
810693,Jujutsu Kaisen 0,2021-12-24,1207.041,7.8,243,"['Animation', 'Action', 'Fantasy']","Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?"
610150,Dragon Ball Super: Super Hero,2022-06-11,1148.909,7.6,98,"['Animation', 'Science Fiction', 'Action']","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family."
718930,Bullet Train,2022-07-03,1094.052,7.4,217,"['Action', 'Comedy', 'Crime']","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train."
